Date,Open,High,Low,Close,Volume
2021-03-21,1805.92,1817.58,1747.0,1783.74,169569.89339
2021-03-22,1783.82,1807.24,1656.0,1681.5,225354.62249
2021-03-23,1681.54,1721.68,1651.26,1668.32,250857.95552
2021-03-24,1668.32,1740.66,1545.0,1581.59,312938.07214
2021-03-25,1581.66,1622.1,1548.12,1586.59,357679.9874
2021-03-26,1586.59,1700.99,1586.51,1699.79,225709.22783
2021-03-27,1699.79,1732.36,1666.79,1712.82,196839.80698
2021-03-28,1712.82,1725.0,1661.51,1686.63,164989.11742
2021-03-29,1686.64,1840.59,1677.39,1816.53,203312.90561
2021-03-30,1816.57,1859.5,1785.95,1841.17,180759.82822
2021-03-31,1841.11,1947.0,1772.09,1919.86,264887.1218
2021-04-01,1919.89,1984.28,1885.33,1967.62,248453.25045
2021-04-02,1967.62,2146.42,1948.39,2134.19,263196.21742
2021-04-03,2134.19,2138.65,2000.0,2009.02,267610.63418
2021-04-04,2009.01,2092.05,1977.78,2075.95,164492.99043
2021-04-05,2075.87,2131.41,2002.22,2107.33,217394.7189
2021-04-06,2107.49,2151.33,2044.42,2111.86,255156.21248
2021-04-07,2112.0,2128.56,1930.06,1962.2,365035.51444
2021-04-08,1962.31,2084.01,1947.19,2080.3,219885.52304
2021-04-09,2080.29,2100.33,2048.57,2065.77,164709.90832
2021-04-10,2065.78,2196.75,2056.87,2132.92,277204.88671
2021-04-11,2132.98,2162.99,2111.9,2149.98,169694.70156
2021-04-12,2149.99,2200.0,2101.12,2136.77,217183.79002
2021-04-13,2136.76,2318.04,2134.73,2300.08,296248.17504
2021-04-14,2300.08,2446.6,2281.89,2432.47,383603.62165
2021-04-15,2432.48,2546.04,2400.0,2516.39,287450.66321
2021-04-16,2516.38,2549.62,2304.66,2425.46,407438.78587
2021-04-17,2425.77,2497.18,2315.0,2319.32,273338.30294
2021-04-18,2319.66,2342.64,1933.32,2239.93,577962.61121
2021-04-19,2239.93,2282.12,2080.45,2162.69,405238.79862
2021-04-20,2162.7,2348.46,2058.6,2332.26,441217.08406
2021-04-21,2332.26,2470.78,2238.03,2358.04,515530.32694
2021-04-22,2358.01,2645.61,2302.97,2398.16,722380.3426
2021-04-23,2398.57,2442.69,2105.72,2368.74,745200.12386
2021-04-24,2369.08,2370.01,2157.0,2216.27,397960.72458
2021-04-25,2216.5,2358.93,2170.11,2322.82,324850.77566
2021-04-26,2322.82,2543.97,2305.91,2534.5,378394.19446
2021-04-27,2534.46,2684.5,2483.43,2668.5,248921.01968
2021-04-28,2668.5,2763.99,2562.69,2750.0,316980.04258
2021-04-29,2750.5,2800.0,2671.22,2758.92,276387.222
2021-04-30,2758.78,2800.0,2726.82,2775.51,230236.32597
2021-05-01,2775.5,2956.66,2756.33,2947.37,199161.42059
2021-05-02,2947.37,2986.54,2854.38,2951.33,189162.57005
2021-05-03,2951.33,3457.58,2951.33,3432.99,406735.26666
2021-05-04,3432.99,3529.76,3162.46,3241.0,623282.03741
2021-05-05,3241.02,3550.0,3210.2,3529.42,433770.9441
2021-05-06,3529.42,3611.45,3381.62,3492.3,361226.90187
2021-05-07,3492.31,3591.12,3356.92,3482.75,287586.4221
2021-05-08,3482.76,3964.56,3452.54,3914.65,369687.57343
2021-05-09,3915.86,3985.0,3728.57,3928.37,322927.48008
2021-05-10,3928.37,4214.5,3650.0,3949.23,459015.2893
2021-05-11,3950.2,4185.0,3771.49,4178.59,373292.84306
2021-05-12,4179.07,4379.53,3717.17,3819.17,504345.56706
2021-05-13,3815.25,4043.38,3510.0,3718.79,687091.82163
2021-05-14,3718.28,4180.0,3693.2,4080.2,346236.38645
2021-05-15,4079.96,4135.82,3632.52,3646.65,308915.43104
2021-05-16,3648.02,3879.04,3345.0,3583.98,370981.14387
2021-05-17,3583.98,3590.75,3121.19,3282.73,486774.60012
2021-05-18,3282.89,3567.47,3240.36,3377.49,382333.26196
2021-05-19,3377.63,3443.06,1901.0,2443.89,1072116.60099
2021-05-20,2443.89,2998.0,2157.0,2774.43,934901.52996
2021-05-21,2774.07,2943.78,2101.0,2433.36,790293.58149
2021-05-22,2434.92,2488.0,2150.0,2297.14,572765.11421
2021-05-23,2297.47,2383.55,1731.07,2100.26,818569.43877
2021-05-24,2099.43,2680.52,2083.24,2651.7,589404.5919
2021-05-25,2651.7,2753.46,2382.49,2705.82,554045.18102
2021-05-26,2706.9,2915.0,2645.88,2889.4,428890.31505
2021-05-27,2889.03,2894.07,2637.0,2744.73,350674.91826
2021-05-28,2744.73,2763.58,2326.83,2413.05,411314.18934
2021-05-29,2413.11,2575.0,2208.0,2280.2,360655.33784
2021-05-30,2280.78,2478.35,2181.36,2387.54,284460.87264
2021-05-31,2387.13,2720.0,2274.0,2707.47,380900.56885
2021-06-01,2707.8,2741.18,2525.84,2633.46,359037.18254
2021-06-02,2633.46,2802.73,2551.24,2706.0,277767.08019
2021-06-03,2706.0,2891.59,2662.69,2858.22,314123.13283
2021-06-04,2858.19,2860.64,2550.78,2690.77,330627.12197
2021-06-05,2690.77,2817.5,2553.22,2628.43,295368.31417
2021-06-06,2628.42,2746.41,2615.11,2712.58,196190.95227
2021-06-07,2712.58,2848.85,2572.0,2593.5,324207.45877
2021-06-08,2592.93,2621.91,2306.05,2508.97,434863.36125
2021-06-09,2509.85,2628.9,2406.0,2611.57,392195.6051
2021-06-10,2611.57,2626.0,2427.46,2472.5,256408.44766
2021-06-11,2471.68,2498.79,2321.37,2354.45,215256.16723
2021-06-12,2354.02,2454.82,2256.79,2370.56,237118.58259
2021-06-13,2370.57,2548.96,2308.98,2509.32,228029.60639
2021-06-14,2509.56,2610.0,2461.49,2582.31,202674.57597
2021-06-15,2581.62,2640.43,2508.0,2543.34,184453.40474
2021-06-16,2543.62,2556.12,2351.02,2367.63,218234.3594
2021-06-17,2367.41,2460.0,2306.69,2373.06,200758.75668
2021-06-18,2373.29,2377.64,2137.98,2235.45,255547.48461
2021-06-19,2234.9,2278.98,2162.39,2165.41,162083.67202
2021-06-20,2165.68,2277.73,2041.66,2243.25,250384.18502
2021-06-21,2243.35,2259.87,1865.1,1885.23,539181.26705
2021-06-22,1885.04,1996.96,1700.41,1879.65,552798.95603
2021-06-23,1879.62,2045.0,1822.71,1968.5,334901.11782
2021-06-24,1968.66,2036.7,1885.09,1989.47,250031.28357
2021-06-25,1989.65,2019.65,1791.21,1809.05,322819.94572
2021-06-26,1809.05,1852.39,1717.41,1830.1,276140.3909
2021-06-27,1829.33,1984.77,1806.64,1982.69,215717.50688
2021-06-28,1982.69,2145.0,1961.28,2084.39,300169.8913
2021-06-29,2084.55,2245.0,2074.25,2165.98,257905.22471
2021-06-30,2165.27,2287.64,2088.27,2275.71,283389.40782
2021-07-01,2275.7,2276.24,2073.25,2106.52,277765.03365
2021-07-02,2106.51,2159.32,2018.0,2154.34,239581.97539
2021-07-03,2154.35,2239.85,2113.1,2227.59,183142.52419
2021-07-04,2227.59,2389.77,2190.0,2322.89,191676.79627
2021-07-05,2322.89,2324.61,2158.78,2196.73,266317.97891
2021-07-06,2197.5,2350.0,2194.12,2322.63,269765.27462
2021-07-07,2322.42,2410.0,2294.08,2316.91,228320.19624
2021-07-08,2316.68,2325.32,2085.47,2116.3,278332.94746
2021-07-09,2116.3,2189.8,2047.34,2146.9,234831.68787
2021-07-10,2146.91,2194.06,2073.81,2110.74,180089.24952
2021-07-11,2110.76,2174.13,2081.11,2140.23,121662.54336
2021-07-12,2140.23,2168.12,2007.0,2032.0,157893.91164
2021-07-13,2032.0,2047.0,1917.49,1940.74,199583.24263
2021-07-14,1940.56,2020.06,1864.16,1994.65,217575.53492
2021-07-15,1994.65,2041.33,1881.0,1918.9,205241.82475
2021-07-16,1919.22,1964.91,1850.0,1876.78,191134.24809
2021-07-17,1876.79,1919.54,1844.96,1899.71,148695.15176
2021-07-18,1899.7,1994.36,1876.96,1891.5,169100.62183
2021-07-19,1891.51,1918.27,1805.0,1818.77,176687.02978
2021-07-20,1818.76,1841.23,1718.0,1786.41,237852.43263
2021-07-21,1786.42,2034.75,1754.08,1995.9,336846.37382
2021-07-22,1995.92,2045.91,1947.94,2024.14,264764.83166
2021-07-23,2024.15,2131.0,1995.21,2124.42,222508.02172
2021-07-24,2124.99,2199.99,2105.56,2185.16,183267.64085
2021-07-25,2185.68,2198.0,2107.82,2191.6,171496.34
2021-07-26,2191.59,2431.46,2173.0,2228.35,377091.86333
2021-07-27,2228.35,2320.0,2152.03,2300.02,281992.4988
2021-07-28,2300.01,2346.07,2244.73,2301.17,232495.91513
2021-07-29,2301.18,2400.0,2267.27,2383.11,158980.74945
2021-07-30,2383.11,2472.02,2317.0,2462.85,232525.16684
2021-07-31,2462.84,2554.66,2422.56,2532.63,152516.28308
2021-08-01,2532.63,2698.41,2514.21,2555.58,243498.20064
2021-08-02,2556.14,2666.35,2505.96,2607.67,242245.08378
2021-08-03,2607.78,2632.99,2444.4,2508.56,227651.4083
2021-08-04,2508.47,2771.32,2458.0,2724.95,275632.3366
2021-08-05,2724.81,2844.97,2530.1,2828.18,369172.10562
2021-08-06,2828.18,2948.2,2720.48,2892.82,254194.48476
2021-08-07,2892.72,3173.0,2866.41,3162.41,329635.62446
2021-08-08,3162.41,3192.34,2950.0,3013.63,270855.9878
2021-08-09,3013.64,3188.85,2895.0,3161.81,297995.75321
2021-08-10,3161.74,3234.42,3052.96,3142.6,249657.91747
2021-08-11,3142.62,3276.94,3122.0,3162.0,219318.17896
2021-08-12,3161.88,3240.13,2981.0,3047.48,228614.44745
2021-08-13,3047.57,3329.0,3035.57,3323.72,174626.32554
2021-08-14,3324.07,3333.11,3207.0,3266.09,151423.39019
2021-08-15,3266.09,3322.57,3114.07,3309.94,174321.46086
2021-08-16,3309.94,3339.0,3135.0,3147.2,185797.92615
2021-08-17,3147.67,3291.69,2992.0,3011.67,227118.59763
2021-08-18,3011.99,3126.33,2950.38,3016.0,202486.20009
2021-08-19,3015.67,3189.05,2959.18,3183.97,188051.48174
2021-08-20,3183.92,3300.77,3177.71,3285.53,161690.18714
2021-08-21,3285.84,3310.0,3209.41,3226.0,124973.56215
2021-08-22,3225.99,3275.0,3129.24,3240.64,117861.45574
2021-08-23,3240.63,3377.46,3233.0,3322.15,168916.72925
2021-08-24,3322.15,3359.11,3150.0,3171.3,153057.38704
2021-08-25,3171.3,3248.31,3080.0,3227.81,144046.65419
2021-08-26,3227.62,3251.0,3053.85,3093.21,133045.80613
2021-08-27,3093.72,3282.0,3061.69,3274.9,141821.69373
2021-08-28,3275.17,3286.23,3213.37,3246.5,85585.2979
2021-08-29,3246.5,3288.0,3154.78,3226.18,108653.97252
2021-08-30,3226.2,3349.0,3144.02,3229.82,179176.07287
2021-08-31,3229.98,3472.93,3190.0,3430.37,232847.22717
2021-09-01,3430.36,3843.58,3383.47,3828.02,218805.51502
2021-09-02,3828.02,3838.53,3723.06,3787.84,159238.0474
2021-09-03,3787.48,4029.32,3708.72,3939.78,183706.54198
2021-09-04,3939.79,3971.81,3834.4,3887.42,107341.867
2021-09-05,3887.75,3983.83,3835.24,3952.65,108284.3156
2021-09-06,3952.64,3972.11,3868.0,3928.3,100709.8143
2021-09-07,3928.56,3947.94,3007.87,3435.71,334141.06525
2021-09-08,3435.71,3561.03,3216.39,3499.56,255902.9757
2021-09-09,3499.51,3566.73,3392.0,3425.26,172490.9523
2021-09-10,3425.23,3514.32,3147.78,3208.93,188553.308
2021-09-11,3208.92,3347.87,3200.02,3267.19,148506.2682
2021-09-12,3267.2,3472.64,3231.59,3404.44,142194.6021
2021-09-13,3404.76,3430.62,3113.0,3286.23,239057.3522
2021-09-14,3286.19,3437.26,3271.69,3435.53,140360.9819
2021-09-15,3435.3,3618.08,3359.59,3615.08,143274.6102
2021-09-16,3615.13,3676.03,3483.0,3568.69,187177.3326
2021-09-17,3568.6,3594.49,3350.0,3400.05,148671.7121
2021-09-18,3400.04,3542.21,3369.36,3435.84,117163.8049
2021-09-19,3436.01,3457.14,3280.23,3329.68,114930.9336
2021-09-20,3329.16,3347.4,2915.08,2976.58,303253.60841
2021-09-21,2976.59,3105.19,2651.29,2765.58,340550.79865
2021-09-22,2765.73,3091.15,2737.92,3078.81,223055.9106
2021-09-23,3078.44,3174.54,3036.1,3153.78,159942.0743
2021-09-24,3153.78,3159.95,2736.0,2930.13,300356.3079
2021-09-25,2930.29,2968.65,2803.82,2923.72,209121.694
2021-09-26,2923.72,3117.2,2740.08,3060.78,235464.8554
2021-09-27,3060.75,3166.92,2925.0,2926.71,212802.1967
2021-09-28,2926.77,2971.01,2789.61,2805.52,199667.3926
2021-09-29,2805.3,2949.5,2781.99,2850.27,170481.6846
2021-09-30,2850.12,3048.17,2837.58,3000.48,187568.7252
2021-10-01,3000.48,3332.14,2968.73,3311.05,215184.9441
2021-10-02,3311.52,3469.77,3258.51,3389.56,138121.3864
2021-10-03,3389.36,3489.0,3344.5,3419.66,116161.3179
2021-10-04,3419.65,3438.23,3272.28,3386.59,171718.9046
2021-10-05,3387.01,3545.59,3365.23,3516.36,135721.7234
2021-10-06,3516.79,3632.14,3344.21,3575.89,201270.8169
2021-10-07,3576.09,3655.0,3472.12,3588.42,168884.3001
2021-10-08,3588.12,3670.65,3535.0,3563.23,129934.4546
2021-10-09,3563.64,3635.1,3538.38,3575.77,73583.1038
2021-10-10,3575.76,3605.0,3405.83,3415.96,128791.916
2021-10-11,3415.54,3623.22,3344.7,3542.66,149699.0749
2021-10-12,3542.66,3546.76,3403.69,3491.63,167417.1199
2021-10-13,3491.39,3613.0,3412.0,3607.27,133959.9013
2021-10-14,3607.28,3824.74,3587.79,3791.42,142775.352
2021-10-15,3791.42,3904.0,3735.24,3868.28,157460.3196
2021-10-16,3868.18,3969.7,3804.67,3830.61,105236.2406
2021-10-17,3830.25,3919.0,3645.14,3846.65,124074.883
2021-10-18,3846.92,3892.37,3675.12,3744.56,147592.5911
2021-10-19,3744.56,3887.37,3729.98,3877.54,128626.9026
2021-10-20,3877.72,4169.93,3829.08,4162.69,148710.67057
2021-10-21,4162.34,4374.0,4013.18,4053.37,240031.5582
2021-10-22,4053.36,4167.0,3888.88,3971.46,142512.7333
2021-10-23,3971.2,4170.81,3937.85,4166.85,105776.4294
2021-10-24,4166.85,4185.0,3962.65,4082.27,109807.1066
2021-10-25,4082.19,4234.8,4069.45,4219.67,106086.1008
2021-10-26,4219.66,4296.38,4092.55,4131.04,126114.8818
2021-10-27,4131.7,4314.93,3912.0,3924.23,194802.9602
2021-10-28,3924.23,4297.93,3890.48,4287.55,169789.5663
2021-10-29,4288.47,4459.89,4266.01,4418.8,148128.21109
2021-10-30,4419.0,4433.99,4235.0,4324.11,88911.3915
2021-10-31,4324.09,4395.6,4167.39,4290.05,108115.3867
2021-11-01,4290.41,4383.56,4150.0,4321.69,117120.3814
2021-11-02,4321.7,4603.7,4287.0,4592.47,125640.68915
2021-11-03,4592.54,4669.2,4457.96,4605.52,106630.03814
2021-11-04,4605.53,4608.0,4423.14,4536.23,98725.6978
2021-11-05,4535.88,4574.61,4443.74,4478.56,76640.292
2021-11-06,4478.41,4533.7,4330.0,4521.44,80354.0964
2021-11-07,4521.44,4640.88,4506.25,4616.0,66001.2951
2021-11-08,4616.01,4825.8,4615.8,4811.25,93977.20022
2021-11-09,4811.19,4842.12,4714.93,4733.26,81930.25265
2021-11-10,4733.26,4867.36,4467.19,4631.46,148713.21085
2021-11-11,4631.45,4781.74,4579.6,4722.0,83700.9673
2021-11-12,4721.69,4809.84,4510.0,4667.3,125530.7439
2021-11-13,4667.3,4707.88,4586.26,4644.84,67219.1412
2021-11-14,4644.84,4696.0,4515.0,4626.61,73645.1443
2021-11-15,4626.62,4771.1,4540.99,4564.49,96780.2413
2021-11-16,4564.17,4564.17,4108.1,4211.09,234348.1176
2021-11-17,4211.15,4300.0,4067.03,4289.51,158722.5881
2021-11-18,4289.77,4346.88,3957.96,3998.32,198354.0521
2021-11-19,3998.77,4313.0,3975.53,4298.31,143406.3757
2021-11-20,4298.4,4440.0,4203.65,4414.31,98832.7871
2021-11-21,4414.95,4426.9,4245.77,4261.87,82826.4493
2021-11-22,4262.08,4321.67,4025.5,4088.84,171003.9997
2021-11-23,4089.16,4387.01,4061.67,4339.97,170115.4451
